"","code","movie_title","point"
"1","17421","쇼생크 탈출","9.41"
"2","151196","원더","9.40"
"3","10200","터미네이터 2","9.39"
"4","22126","인생은 아름다워","9.39"
"5","24452","매트릭스","9.38"
"6","106360","위대한 쇼맨","9.38"
"7","17170","레옹","9.38"
"8","17159","포레스트 검프","9.38"
"9","10048","죽은 시인의 사회","9.38"
"10","10016","나 홀로 집에","9.38"
"11","69105","월-E","9.38"
"12","10002","빽 투 더 퓨쳐","9.38"
"13","18988","라이언 일병 구하기","9.37"
"14","66463","토이 스토리 3","9.37"
"15","10102","사운드 오브 뮤직","9.37"
"16","35901","살인의 추억","9.36"
"17","32686","센과 치히로의 행방불명","9.36"
"18","82432","헬프","9.36"
"19","31796","반지의 제왕: 왕의 귀환","9.36"
"20","29217","글래디에이터","9.36"
"21","35939","클래식","9.35"
"22","134899","동주","9.35"
"23","14448","패왕별희","9.35"
"24","16210","미세스 다웃파이어","9.35"
"25","161850","아이 캔 스피크","9.35"
"26","17541","굿바이 마이 프랜드","9.35"
"27","12482","여인의 향기","9.35"
"28","130850","주토피아","9.35"
"29","31795","반지의 제왕: 두 개의 탑","9.35"
"30","31162","캐스트 어웨이","9.34"
"31","10038","에이리언 2","9.34"
"32","73372","세 얼간이","9.34"
"33","76667","울지마 톤즈","9.34"
"34","18543","서유기 2 - 선리기연","9.34"
"35","10114","아마데우스","9.34"
"36","169561","뷰티풀 투모로우","9.34"
"37","14450","쉰들러 리스트","9.34"
"38","73476","그대를 사랑합니다","9.34"
"39","87566","언터처블: 1%의 우정","9.33"
"40","125724","빌리 엘리어트 뮤지컬 라이브","9.33"
"41","70457","드래곤 길들이기","9.33"
"42","13008","알라딘","9.33"
"43","147092","히든 피겨스","9.33"
"44","39636","지금, 만나러 갑니다","9.33"
"45","19303","모노노케 히메","9.32"
"46","19079","굿 윌 헌팅","9.32"
"47","25915","아이언 자이언트","9.32"
"48","62586","다크 나이트","9.32"
"49","89752","오페라의 유령 : 25주년 특별 공연","9.32"
"50","29657","프리퀀시","9.32"
